datetime,hour,month,weekday,latitude,longitude,crime_category,raw_offense,city
2008-01-01 01:55:00,1,1,1,47.61477177,-122.3121155,property,PROPERTY CRIME,Seattle
2008-01-01 02:00:00,2,1,1,47.60576977,-122.321877155011,other,ALL OTHER,Seattle
2008-01-01 02:04:00,2,1,1,47.63596,-122.37037,other,ALL OTHER,Seattle
2008-01-01 02:10:00,2,1,1,47.64135501,-122.320058808344,other,ALL OTHER,Seattle
2008-01-01 02:13:00,2,1,1,47.60201216,-122.332251467698,other,ALL OTHER,Seattle
2008-01-01 02:15:00,2,1,1,47.60487637,-122.328733501069,other,ALL OTHER,Seattle
2008-01-01 02:42:00,2,1,1,47.61370749,-122.346083207787,other,ALL OTHER,Seattle
2008-01-01 02:57:00,2,1,1,47.58209531,-122.386512384106,property,PROPERTY CRIME,Seattle
2008-01-01 03:00:00,3,1,1,47.652965,-122.391104,other,ALL OTHER,Seattle
2008-01-01 03:05:00,3,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 03:17:00,3,1,1,47.60901495,-122.329450043773,other,ALL OTHER,Seattle
2008-01-01 03:17:00,3,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 03:25:00,3,1,1,47.61855857,-122.344327967563,other,ALL OTHER,Seattle
2008-01-01 03:25:00,3,1,1,47.61855857,-122.344327967563,other,ALL OTHER,Seattle
2008-01-01 03:41:00,3,1,1,47.58397886,-122.334198762475,other,ALL OTHER,Seattle
2008-01-01 03:52:00,3,1,1,47.60673263,-122.324293586547,violent,VIOLENT CRIME,Seattle
2008-01-01 04:16:00,4,1,1,47.58412339,-122.314687935178,other,ALL OTHER,Seattle
2008-01-01 04:22:00,4,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 04:22:00,4,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 04:22:00,4,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 04:41:00,4,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 05:14:00,5,1,1,47.67034534,-122.314165599857,violent,VIOLENT CRIME,Seattle
2008-01-01 05:17:00,5,1,1,47.52859029,-122.322880149428,other,ALL OTHER,Seattle
2008-01-01 05:18:00,5,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 06:00:00,6,1,1,47.61965058,-122.325293558069,other,ALL OTHER,Seattle
2008-01-01 06:27:00,6,1,1,47.52425658,-122.277318372153,other,ALL OTHER,Seattle
2008-01-01 06:30:00,6,1,1,47.54889699,-122.286264518425,property,PROPERTY CRIME,Seattle
2008-01-01 06:32:00,6,1,1,47.60278737,-122.333726665729,property,PROPERTY CRIME,Seattle
2008-01-01 07:14:00,7,1,1,47.61239802,-122.340892454099,property,PROPERTY CRIME,Seattle
2008-01-01 07:20:00,7,1,1,47.61034467,-122.342391637623,property,PROPERTY CRIME,Seattle
2008-01-01 08:09:00,8,1,1,47.61704061,-122.325552288199,violent,VIOLENT CRIME,Seattle
2008-01-01 08:50:00,8,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 09:00:00,9,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 09:13:00,9,1,1,47.61522807,-122.323944060561,property,PROPERTY CRIME,Seattle
2008-01-01 09:30:00,9,1,1,47.66569,-122.316339,property,PROPERTY CRIME,Seattle
2008-01-01 09:38:00,9,1,1,47.60925299,-122.337338799999,violent,VIOLENT CRIME,Seattle
2008-01-01 09:38:00,9,1,1,47.60925299,-122.337338799999,other,ALL OTHER,Seattle
2008-01-01 09:39:00,9,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 09:39:00,9,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 09:52:00,9,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 10:03:00,10,1,1,47.60908894,-122.323376627913,other,ALL OTHER,Seattle
2008-01-01 10:24:00,10,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 10:25:00,10,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 10:40:00,10,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 10:42:00,10,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 10:42:00,10,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 10:54:00,10,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 11:06:00,11,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 11:15:00,11,1,1,47.66563476,-122.30831521493,property,PROPERTY CRIME,Seattle
2008-01-01 11:21:00,11,1,1,47.537622,-122.387294,property,PROPERTY CRIME,Seattle
2008-01-01 11:21:00,11,1,1,47.51985178,-122.268030090357,property,PROPERTY CRIME,Seattle
2008-01-01 11:27:00,11,1,1,47.58594718,-122.3133666135,property,PROPERTY CRIME,Seattle
2008-01-01 11:28:00,11,1,1,47.69193146,-122.301494009927,other,ALL OTHER,Seattle
2008-01-01 11:33:00,11,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 11:42:00,11,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 11:52:00,11,1,1,47.6204918,-122.32088228611,property,PROPERTY CRIME,Seattle
2008-01-01 11:59:00,11,1,1,47.62265884,-122.347587201216,property,PROPERTY CRIME,Seattle
2008-01-01 12:01:00,12,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 12:01:00,12,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 12:07:00,12,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 12:18:00,12,1,1,47.67532781,-122.350664561071,other,ALL OTHER,Seattle
2008-01-01 12:18:00,12,1,1,47.66646689,-122.38475006765,other,ALL OTHER,Seattle
2008-01-01 12:19:00,12,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 12:27:00,12,1,1,47.60412807,-122.323443931995,violent,VIOLENT CRIME,Seattle
2008-01-01 12:30:00,12,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 12:30:00,12,1,1,-1.0,-1.0,other,ALL OTHER,Seattle
2008-01-01 12:30:00,12,1,1,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2008-01-01 12:31:00,12,1,1,47.66216819,-122.310843380682,other,ALL OTHER,Seattle
