lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk
40.66,-89.67,2,11,3,violent,violent,1.0,True,1.0,0.0,0.0,100.0
40.66,-89.66,1,12,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.65,0,8,8,violent,violent,0.983,True,0.9833,0.0,0.0167,98.3
40.66,-89.65,0,11,3,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.66,-89.65,1,1,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.65,1,7,8,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.65,2,4,8,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.66,-89.65,2,5,7,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.66,-89.65,2,12,4,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.66,-89.65,3,3,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.65,3,4,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.65,3,8,5,other,other,1.0,True,0.0,0.0,1.0,0.0
40.66,-89.65,3,9,6,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.66,-89.64,0,1,15,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,2,13,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,5,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,6,14,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,7,14,violent,other,0.963,False,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,8,25,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,9,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,10,13,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,0,11,11,violent,violent,0.979,True,0.9794,0.0,0.0206,97.9
40.66,-89.64,0,12,8,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,1,1,11,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,1,2,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,1,3,4,violent,other,0.671,False,0.3286,0.0,0.6714,0.0
40.66,-89.64,1,4,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,1,5,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,1,7,7,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.66,-89.64,1,8,5,other,other,0.927,True,0.0,0.0734,0.9266,0.0
40.66,-89.64,1,9,4,other,other,0.885,True,0.0,0.1148,0.8852,0.0
40.66,-89.64,1,10,8,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.66,-89.64,1,11,11,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.66,-89.64,1,12,4,other,other,0.927,True,0.0,0.0734,0.9266,0.0
40.66,-89.64,2,1,3,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.66,-89.64,2,2,9,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,2,3,6,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,2,5,11,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.64,2,7,10,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,2,8,15,violent,other,0.964,False,0.0,0.0362,0.9638,0.0
40.66,-89.64,2,9,10,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,2,10,11,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,2,11,15,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,2,12,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,3,1,5,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.66,-89.64,3,2,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.64,3,3,8,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.66,-89.64,3,4,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.64,3,5,10,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.64,3,6,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.64,3,7,29,other,other,0.762,True,0.2055,0.0328,0.7617,0.0
40.66,-89.64,3,8,14,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.66,-89.64,3,9,18,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.66,-89.64,3,10,8,violent,violent,1.0,True,1.0,0.0,0.0,100.0
40.66,-89.64,3,12,8,violent,other,0.671,False,0.3286,0.0,0.6714,0.0
40.66,-89.63,0,1,6,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
