city,latitude,longitude,datetime,crime_category
Birmingham,33.57679806,-86.63684398,2023-11-13 13:00:00,property
Birmingham,33.54447792,-86.72567836,2023-11-13 12:45:00,property
Birmingham,33.58653101,-86.70128767,2023-11-13 11:20:00,property
Birmingham,33.54114534,-86.74473497,2023-11-13 08:00:00,property
Birmingham,33.54762383,-86.73271773,2023-11-13 06:00:00,property
Birmingham,33.57125917,-86.72054114,2023-11-13 02:18:00,violent
Birmingham,33.51965517,-86.72359905,2023-11-13 00:00:00,property
Birmingham,33.51965517,-86.72359905,2023-11-13 00:00:00,property
Birmingham,33.59784911,-86.69432916,2023-11-12 14:00:00,property
Birmingham,33.53628666,-86.7348589,2023-11-12 08:00:00,property
Birmingham,33.55967804,-86.72039325,2023-11-11 23:00:00,violent
Birmingham,33.54045641,-86.75221635,2023-11-11 22:45:00,property
Birmingham,33.54086725,-86.75995919,2023-11-11 20:35:00,violent
Birmingham,33.60982865,-86.68559656,2023-11-11 18:55:00,property
Birmingham,33.5453454,-86.72386904,2023-11-11 16:20:00,violent
Birmingham,33.55898023,-86.7487485,2023-11-11 13:47:00,property
Birmingham,33.53801659,-86.72440566,2023-11-11 12:51:00,property
Birmingham,33.52846776,-86.72003388,2023-11-11 12:30:00,property
Birmingham,33.56048721,-86.7116492,2023-11-11 10:00:00,property
Birmingham,33.55751258,-86.72321644,2023-11-11 08:00:00,property
Birmingham,33.54965729,-86.74972939,2023-11-11 06:00:00,property
Birmingham,33.55333944,-86.73681069,2023-11-11 01:00:00,property
Birmingham,33.5481057,-86.73536938,2023-11-11 00:00:00,violent
Birmingham,33.57365052,-86.72721976,2023-11-10 08:00:00,property
Birmingham,33.55855627,-86.72788305,2023-11-10 02:00:00,property
Birmingham,33.57295318,-86.77334303,2023-11-09 17:50:00,property
Birmingham,33.66279094,-86.68759075,2023-11-09 06:20:00,property
Birmingham,33.56275034,-86.7198954,2023-11-08 21:08:00,property
Birmingham,33.52810929,-86.73263721,2023-11-08 19:00:00,property
Birmingham,33.55278711,-86.74223196,2023-11-08 12:00:00,property
Birmingham,33.54761436,-86.73076958,2023-11-08 10:00:00,property
Birmingham,33.56340488,-86.73673414,2023-11-08 09:00:00,property
Birmingham,33.55817219,-86.73075971,2023-11-08 09:00:00,property
Birmingham,33.51727191,-86.74679383,2023-11-08 06:17:00,property
Birmingham,33.59838276,-86.72948031,2023-11-08 06:00:00,property
Birmingham,33.53706126,-86.72245719,2023-11-08 01:30:00,property
Birmingham,33.5465187,-86.74262846,2023-11-08 00:00:00,violent
Birmingham,33.61469021,-86.68718199,2023-11-07 20:00:00,property
Birmingham,33.54961602,-86.75629099,2023-11-07 18:00:00,property
Birmingham,33.59704477,-86.64944861,2023-11-07 07:30:00,violent
Birmingham,33.55615062,-86.73096571,2023-11-07 02:26:00,violent
Birmingham,33.52912924,-86.71231597,2023-11-06 16:00:00,property
Birmingham,33.56856294,-86.71720036,2023-11-06 15:30:00,property
Birmingham,33.55898023,-86.7487485,2023-11-06 15:00:00,property
Birmingham,33.59140242,-86.70437021,2023-11-06 12:00:00,property
Birmingham,33.5478798,-86.74354181,2023-11-06 11:51:00,violent
Birmingham,33.64573053,-86.70562876,2023-11-06 06:46:00,property
Birmingham,33.53180406,-86.75662028,2023-11-06 05:00:00,property
Birmingham,33.53999062,-86.75617438,2023-11-06 02:30:00,property
Birmingham,33.61594125,-86.68496644,2023-11-06 00:30:00,property
Birmingham,33.61594125,-86.68496644,2023-11-06 00:30:00,property
Birmingham,33.53674712,-86.73347219,2023-11-05 23:00:00,property
Birmingham,33.63610326,-86.70380293,2023-11-05 19:00:00,property
Birmingham,33.52846776,-86.72003388,2023-11-05 13:13:00,property
Birmingham,33.52846776,-86.72003388,2023-11-05 13:00:00,property
Birmingham,33.5212651,-86.72727809,2023-11-05 03:44:00,property
Birmingham,33.56453737,-86.77699988,2023-11-05 03:15:00,violent
Birmingham,33.59694568,-86.71382082,2023-11-05 01:52:00,property
Birmingham,33.57134647,-86.77745434,2023-11-05 00:00:00,property
Birmingham,33.55488017,-86.71494692,2023-11-04 18:30:00,property
Birmingham,33.58662438,-86.70116516,2023-11-04 15:00:00,property
Birmingham,33.55249031,-86.74152636,2023-11-04 12:00:00,property
Birmingham,33.59794601,-86.70017237,2023-11-04 08:30:00,property
Birmingham,33.47509694,-86.83500553,2023-11-04 03:18:00,property
Birmingham,33.55987797,-86.7762621,2023-11-03 18:15:00,violent
Birmingham,33.53517751,-86.74909246,2023-11-03 18:00:00,property
Birmingham,33.58998674,-86.74153757,2023-11-03 17:00:00,property
Birmingham,33.5736344,-86.7215971,2023-11-03 00:25:00,property
Birmingham,33.5327997,-86.74953049,2023-11-03 00:05:00,property
Birmingham,33.52846776,-86.72003388,2023-11-02 19:20:00,property
Birmingham,33.59664121,-86.72006842,2023-11-02 17:45:00,property
Birmingham,33.53344763,-86.74925965,2023-11-02 16:00:00,property
