city,datetime,hour,month,weekday,crime_category,latitude,longitude
Cambridge,2023-04-16 15:00:00,15,4,6,property,52.192506,0.156461
Cambridge,2023-04-01 03:00:00,3,4,5,property,52.211025,0.11346
Cambridge,2023-04-09 16:00:00,16,4,6,property,52.200548,0.121041
Cambridge,2023-04-28 19:00:00,19,4,4,property,52.203355,0.133453
Cambridge,2023-04-27 13:00:00,13,4,3,property,52.235629,0.128864
Cambridge,2023-04-06 17:00:00,17,4,3,property,52.226495,0.127754
Cambridge,2023-04-16 05:00:00,5,4,6,property,52.193225,0.136216
Cambridge,2023-04-03 21:00:00,21,4,0,property,52.214627,0.106616
Cambridge,2023-04-20 07:00:00,7,4,3,property,52.223839,0.157672
Cambridge,2023-04-28 08:00:00,8,4,4,property,52.213211,0.147773
Cambridge,2023-04-27 23:00:00,23,4,3,property,52.204911,0.132942
Cambridge,2023-04-04 00:00:00,0,4,1,property,52.206353,0.133743
Cambridge,2023-04-19 12:00:00,12,4,2,property,52.212589,0.104942
Cambridge,2023-04-26 02:00:00,2,4,2,property,52.1984,0.121524
Cambridge,2023-04-03 05:00:00,5,4,0,property,52.193745,0.134822
Cambridge,2023-04-19 16:00:00,16,4,2,property,52.197157,0.106554
Cambridge,2023-04-20 07:00:00,7,4,3,property,52.199829,0.138962
Cambridge,2023-04-07 05:00:00,5,4,4,property,52.19644,0.134468
Cambridge,2023-04-20 15:00:00,15,4,3,property,52.204478,0.143444
Cambridge,2023-04-09 00:00:00,0,4,6,property,52.207515,0.127125
Cambridge,2023-04-01 09:00:00,9,4,5,property,52.212589,0.104942
Cambridge,2023-04-08 17:00:00,17,4,5,property,52.192391,0.150925
Cambridge,2023-04-07 21:00:00,21,4,4,property,52.203523,0.124124
Cambridge,2023-04-18 13:00:00,13,4,1,property,52.213552,0.13643
Cambridge,2023-04-08 23:00:00,23,4,5,property,52.20533,0.12364
Cambridge,2023-04-01 04:00:00,4,4,5,property,52.202874,0.11748
Cambridge,2023-04-11 16:00:00,16,4,1,property,52.195793,0.137905
Cambridge,2023-04-28 13:00:00,13,4,4,property,52.218054,0.144493
Cambridge,2023-04-25 17:00:00,17,4,1,property,52.213326,0.143944
Cambridge,2023-04-25 03:00:00,3,4,1,property,52.167885,0.109777
Cambridge,2023-04-18 19:00:00,19,4,1,property,52.200978,0.105608
Cambridge,2023-04-23 22:00:00,22,4,6,property,52.210537,0.112119
Cambridge,2023-04-10 01:00:00,1,4,0,property,52.218793,0.119055
Cambridge,2023-04-03 06:00:00,6,4,0,property,52.195963,0.141411
Cambridge,2023-04-07 06:00:00,6,4,4,property,52.193225,0.136216
Cambridge,2023-04-28 06:00:00,6,4,4,property,52.207777,0.135524
Cambridge,2023-04-16 12:00:00,12,4,6,property,52.194944,0.168665
Cambridge,2023-04-26 18:00:00,18,4,2,property,52.219342,0.086727
Cambridge,2023-04-16 21:00:00,21,4,6,property,52.227344,0.110033
Cambridge,2023-04-25 05:00:00,5,4,1,property,52.211399,0.131658
Cambridge,2023-04-20 19:00:00,19,4,3,property,52.190972,0.122019
Cambridge,2023-04-28 16:00:00,16,4,4,property,52.214025,0.111626
Cambridge,2023-04-17 17:00:00,17,4,0,property,52.190164,0.136961
Cambridge,2023-04-02 23:00:00,23,4,6,property,52.194769,0.136334
Cambridge,2023-04-01 00:00:00,0,4,5,property,52.192353,0.134003
Cambridge,2023-04-16 22:00:00,22,4,6,property,52.208907,0.118234
Cambridge,2023-04-12 12:00:00,12,4,2,property,52.211161,0.157101
Cambridge,2023-04-05 18:00:00,18,4,2,property,52.20844,0.119704
Cambridge,2023-04-05 15:00:00,15,4,2,property,52.228772,0.127628
Cambridge,2023-04-27 09:00:00,9,4,3,property,52.208396,0.122688
Cambridge,2023-04-23 12:00:00,12,4,6,property,52.216898,0.169867
Cambridge,2023-04-09 09:00:00,9,4,6,property,52.2078,0.133798
Cambridge,2023-04-09 13:00:00,13,4,6,property,52.206455,0.121103
Cambridge,2023-04-03 08:00:00,8,4,0,property,52.214272,0.150723
Cambridge,2023-04-19 20:00:00,20,4,2,property,52.224961,0.119583
Cambridge,2023-04-16 10:00:00,10,4,6,property,52.214536,0.126758
Cambridge,2023-04-16 02:00:00,2,4,6,property,52.225544,0.148998
Cambridge,2023-04-03 07:00:00,7,4,0,property,52.216898,0.169867
Cambridge,2023-04-20 11:00:00,11,4,3,property,52.193262,0.136745
Cambridge,2023-04-24 02:00:00,2,4,0,property,52.201421,0.125173
Cambridge,2023-04-22 06:00:00,6,4,5,property,52.212379,0.160849
Cambridge,2023-04-24 13:00:00,13,4,0,property,52.173021,0.123197
Cambridge,2023-04-01 06:00:00,6,4,5,property,52.208907,0.118234
Cambridge,2023-04-24 06:00:00,6,4,0,property,52.197608,0.145426
Cambridge,2023-04-20 13:00:00,13,4,3,property,52.210019,0.117891
Cambridge,2023-04-11 11:00:00,11,4,1,property,52.212589,0.104942
Cambridge,2023-04-17 00:00:00,0,4,0,property,52.174318,0.123113
Cambridge,2023-04-08 04:00:00,4,4,5,property,52.197608,0.145426
Cambridge,2023-04-04 10:00:00,10,4,1,property,52.195793,0.137905
Cambridge,2023-04-06 00:00:00,0,4,3,property,52.230376,0.12646
Cambridge,2023-04-08 22:00:00,22,4,5,property,52.219264,0.132298
Cambridge,2023-04-20 12:00:00,12,4,3,property,52.220733,0.147492
Cambridge,2023-04-03 23:00:00,23,4,0,property,52.198821,0.129592
Cambridge,2023-04-16 22:00:00,22,4,6,property,52.202989,0.126294
Cambridge,2023-04-25 16:00:00,16,4,1,property,52.204536,0.117821
Cambridge,2023-04-03 02:00:00,2,4,0,property,52.214999,0.127497
Cambridge,2023-04-25 09:00:00,9,4,1,property,52.188097,0.137317
Cambridge,2023-04-18 18:00:00,18,4,1,property,52.174318,0.123113
Cambridge,2023-04-14 06:00:00,6,4,4,property,52.227888,0.120792
Cambridge,2023-04-18 19:00:00,19,4,1,property,52.181205,0.125138
Cambridge,2023-04-02 02:00:00,2,4,6,property,52.219264,0.132298
Cambridge,2023-04-22 21:00:00,21,4,5,property,52.21776,0.165546
Cambridge,2023-04-03 11:00:00,11,4,0,property,52.184188,0.060373
Cambridge,2023-04-16 21:00:00,21,4,6,property,52.206781,0.118952
Cambridge,2023-04-09 09:00:00,9,4,6,property,52.174318,0.123113
Cambridge,2023-04-04 20:00:00,20,4,1,property,52.231944,0.137211
Cambridge,2023-04-01 11:00:00,11,4,5,property,52.22219,0.118148
Cambridge,2023-04-04 14:00:00,14,4,1,property,52.18432,0.125418
Cambridge,2023-04-01 05:00:00,5,4,5,property,52.221535,0.146433
Cambridge,2023-04-14 18:00:00,18,4,4,property,52.21074,0.157037
Cambridge,2023-04-21 04:00:00,4,4,4,property,52.220584,0.136387
